Time,Rate,Error,Fracexp
2019-09-12 01:46:58.229260,4.152457,2.0377579,1.0
2019-09-12 01:46:59.229260,2.7918165,1.6708729,1.0
2019-09-12 01:47:00.229260,2.7236602,1.6503515,1.0
2019-09-12 01:47:01.229260,6.8101087,2.6096184,1.0
2019-09-12 01:47:02.229260,12.515593,3.5377383,1.0
2019-09-12 01:47:03.229260,4.276136,2.067882,1.0
2019-09-12 01:47:04.229260,2.5855522,1.6079652,1.0
2019-09-12 01:47:05.229260,2.682696,1.6378938,1.0
2019-09-12 01:47:06.229260,4.3341303,2.0818574,1.0
2019-09-12 01:47:07.229260,4.30686,2.0752976,1.0
2019-09-12 01:47:08.229260,4.2176147,2.0536833,1.0
2019-09-12 01:47:09.229260,8.417163,2.9012346,1.0
2019-09-12 01:47:10.229260,2.6138005,1.6167252,1.0
2019-09-12 01:47:11.229260,1.3719603,1.1713071,1.0
2019-09-12 01:47:12.229260,5.4079823,2.325507,1.0
2019-09-12 01:47:13.229260,6.6590376,2.580511,1.0
2019-09-12 01:47:14.229260,10.7453785,3.2780144,1.0
2019-09-12 01:47:15.229260,6.6254897,2.5740027,1.0
2019-09-12 01:47:16.229260,2.8008392,1.6735708,1.0
2019-09-12 01:47:17.229260,4.3220773,2.0789607,1.0
2019-09-12 01:47:18.229260,5.5080833,2.3469305,1.0
2019-09-12 01:47:19.229260,5.2236495,2.2855306,1.0
2019-09-12 01:47:20.229260,4.0594068,2.014797,1.0
2019-09-12 01:47:21.229260,6.8893266,2.6247528,1.0
2019-09-12 01:47:22.229260,5.48746,2.3425329,1.0
2019-09-12 01:47:23.229260,2.7224083,1.6499722,1.0
2019-09-12 01:47:24.229260,2.7261932,1.6511188,1.0
2019-09-12 01:47:25.229260,2.714919,1.6477011,1.0
2019-09-12 01:47:26.229260,4.037936,2.0094616,1.0
2019-09-12 01:47:27.229260,8.314886,2.8835545,1.0
2019-09-12 01:47:28.229260,5.5636997,2.3587496,1.0
2019-09-12 01:47:29.229260,2.5892413,1.6091119,1.0
2019-09-12 01:47:30.229260,5.4108634,2.3261263,1.0
2019-09-12 01:47:31.229260,0.0,0.0,1.0
2019-09-12 01:47:32.229260,1.3550398,1.1640618,1.0
2019-09-12 01:47:33.229260,4.0033617,2.0008402,1.0
2019-09-12 01:47:34.229260,4.2208405,2.0544684,1.0
2019-09-12 01:47:35.229260,2.770166,1.6643815,1.0
2019-09-12 01:47:36.229260,8.14475,2.8539007,1.0
2019-09-12 01:47:37.229260,5.2466626,2.2905595,1.0
2019-09-12 01:47:38.229260,10.994694,3.3158247,1.0
2019-09-12 01:47:39.229260,4.1229477,2.0305042,1.0
2019-09-12 01:47:40.229260,3.9751894,1.9937878,1.0
2019-09-12 01:47:41.229260,6.84268,2.6158516,1.0
2019-09-12 01:47:42.229260,4.2889814,2.0709856,1.0
2019-09-12 01:47:43.229260,4.1580405,2.0391273,1.0
2019-09-12 01:47:44.229260,8.090429,2.844368,1.0
2019-09-12 01:47:45.229260,7.161232,2.6760478,1.0
2019-09-12 01:47:46.229260,5.2185526,2.2844152,1.0
2019-09-12 01:47:47.229260,4.156662,2.0387893,1.0
2019-09-12 01:47:48.229260,8.454242,2.9076178,1.0
2019-09-12 01:47:49.229260,5.395225,2.3227625,1.0
2019-09-12 01:47:50.229260,4.245765,2.0605254,1.0
2019-09-12 01:47:51.229260,5.6400104,2.3748705,1.0
2019-09-12 01:47:52.229260,2.7203255,1.6493409,1.0
2019-09-12 01:47:53.229260,7.863483,2.8041902,1.0
2019-09-12 01:47:54.229260,2.6904647,1.6402637,1.0
2019-09-12 01:47:55.229260,6.9966254,2.6451135,1.0
2019-09-12 01:47:56.229260,5.30158,2.302516,1.0
2019-09-12 01:47:57.229260,5.6766825,2.3825788,1.0
2019-09-12 01:47:58.229260,2.5510755,1.5972086,1.0
2019-09-12 01:47:59.229260,6.9104857,2.6287804,1.0
2019-09-12 01:48:00.229260,5.2934847,2.3007574,1.0
2019-09-12 01:48:01.229260,2.719675,1.6491437,1.0
2019-09-12 01:48:02.229260,0.0,0.0,1.0
2019-09-12 01:48:03.229260,4.144917,2.035907,1.0
2019-09-12 01:48:04.229260,5.5016694,2.345564,1.0
2019-09-12 01:48:05.229260,1.2913054,1.1363562,1.0
2019-09-12 01:48:06.229260,7.972499,2.8235614,1.0
2019-09-12 01:48:07.229260,4.17516,2.043321,1.0
2019-09-12 01:48:08.229260,0.0,0.0,1.0
2019-09-12 01:48:09.229260,1.2906923,1.1360865,1.0
2019-09-12 01:48:10.229260,8.052233,2.8376455,1.0
2019-09-12 01:48:11.229260,5.6746817,2.382159,1.0
2019-09-12 01:48:12.229260,6.8329296,2.6139872,1.0
2019-09-12 01:48:13.229260,2.6071837,1.6146775,1.0
2019-09-12 01:48:14.229260,5.576932,2.361553,1.0
2019-09-12 01:48:15.229260,2.684993,1.6385949,1.0
2019-09-12 01:48:16.229260,6.7718406,2.602276,1.0
2019-09-12 01:48:17.229260,1.3056059,1.1426312,1.0
2019-09-12 01:48:18.229260,1.3485181,1.1612571,1.0
2019-09-12 01:48:19.229260,6.572167,2.563624,1.0
2019-09-12 01:48:20.229260,6.8807006,2.6231089,1.0
2019-09-12 01:48:21.229260,0.0,0.0,1.0
2019-09-12 01:48:22.229260,4.159599,2.0395095,1.0
2019-09-12 01:48:23.229260,1.4666448,1.2110511,1.0
2019-09-12 01:48:24.229260,1.3617064,1.1669217,1.0
2019-09-12 01:48:25.229260,9.600257,3.0984282,1.0
2019-09-12 01:48:26.229260,5.488392,2.3427317,1.0
2019-09-12 01:48:27.229260,1.3473486,1.1607535,1.0
2019-09-12 01:48:28.229260,4.012496,2.0031216,1.0
2019-09-12 01:48:29.229260,5.422832,2.3286974,1.0
2019-09-12 01:48:30.229260,0.0,0.0,1.0
2019-09-12 01:48:31.229260,5.3334017,2.3094158,1.0
2019-09-12 01:48:32.229260,2.702843,1.6440325,1.0
2019-09-12 01:48:33.229260,4.1655693,2.0409727,1.0
2019-09-12 01:48:34.229260,0.0,0.0,1.0
2019-09-12 01:48:35.229260,6.8802586,2.6230247,1.0
2019-09-12 01:48:36.229260,4.095749,2.0237956,1.0
2019-09-12 01:48:37.229260,8.231375,2.8690372,1.0
2019-09-12 01:48:38.229260,0.0,0.0,1.0
2019-09-12 01:48:39.229260,5.288736,2.299725,1.0
2019-09-12 01:48:40.229260,2.7624464,1.6620609,1.0
2019-09-12 01:48:41.229260,5.4083014,2.3255756,1.0
2019-09-12 01:48:42.229260,5.2318273,2.2873187,1.0
2019-09-12 01:48:43.229260,9.420443,3.069274,1.0
2019-09-12 01:48:44.229260,9.495495,3.081476,1.0
2019-09-12 01:48:45.229260,8.315952,2.8837392,1.0
2019-09-12 01:48:46.229260,7.796072,2.7921448,1.0
2019-09-12 01:48:47.229260,2.6929405,1.6410182,1.0
2019-09-12 01:48:48.229260,3.9529965,1.9882144,1.0
2019-09-12 01:48:49.229260,6.7811394,2.604062,1.0
2019-09-12 01:48:50.229260,2.737899,1.6546597,1.0
2019-09-12 01:48:51.229260,2.747207,1.65747,1.0
2019-09-12 01:48:52.229260,8.004409,2.8292065,1.0
2019-09-12 01:48:53.229260,4.0640807,2.0159566,1.0
2019-09-12 01:48:54.229260,4.087897,2.0218549,1.0
2019-09-12 01:48:55.229260,5.443908,2.3332183,1.0
2019-09-12 01:48:56.229260,7.898219,2.8103771,1.0
2019-09-12 01:48:57.229260,7.7947087,2.7919006,1.0
2019-09-12 01:48:58.229260,5.5089803,2.3471217,1.0
2019-09-12 01:48:59.229260,5.718108,2.3912566,1.0
2019-09-12 01:49:00.229260,7.75543,2.7848573,1.0
2019-09-12 01:49:01.229260,7.907822,2.812085,1.0
2019-09-12 01:49:02.229260,6.73803,2.5957716,1.0
2019-09-12 01:49:03.229260,5.0145745,2.2393246,1.0
2019-09-12 01:49:04.229260,2.8747122,1.6954976,1.0
2019-09-12 01:49:05.229260,2.6993394,1.6429666,1.0
2019-09-12 01:49:06.229260,3.932228,1.9829847,1.0
2019-09-12 01:49:07.229260,3.9937074,1.9984262,1.0
2019-09-12 01:49:08.229260,5.4751315,2.3398998,1.0
2019-09-12 01:49:09.229260,5.383984,2.3203413,1.0
2019-09-12 01:49:10.229260,5.6054406,2.3675811,1.0
2019-09-12 01:49:11.229260,2.6177547,1.6179477,1.0
2019-09-12 01:49:12.229260,2.6379912,1.6241894,1.0
2019-09-12 01:49:13.229260,6.7258024,2.5934153,1.0
2019-09-12 01:49:14.229260,0.0,0.0,1.0
2019-09-12 01:49:15.229260,5.4814763,2.3412552,1.0
2019-09-12 01:49:16.229260,4.054943,2.013689,1.0
2019-09-12 01:49:17.229260,1.2617307,1.1232679,1.0
2019-09-12 01:49:18.229260,2.785696,1.6690404,1.0
2019-09-12 01:49:19.229260,9.39357,3.0648932,1.0
2019-09-12 01:49:20.229260,8.229403,2.8686936,1.0
2019-09-12 01:49:21.229260,6.2867785,2.507345,1.0
2019-09-12 01:49:22.229260,2.5957413,1.6111305,1.0
2019-09-12 01:49:23.229260,10.850399,3.2939944,1.0
2019-09-12 01:49:24.229260,1.3114734,1.1451957,1.0
2019-09-12 01:49:25.229260,2.6149828,1.6170908,1.0
2019-09-12 01:49:26.229260,5.3199635,2.3065045,1.0
2019-09-12 01:49:27.229260,6.9451914,2.635373,1.0
2019-09-12 01:49:28.229260,5.6516366,2.3773172,1.0
2019-09-12 01:49:29.229260,2.6805289,1.6372321,1.0
2019-09-12 01:49:30.229260,1.3980652,1.1823981,1.0
2019-09-12 01:49:31.229260,6.743755,2.596874,1.0
2019-09-12 01:49:32.229260,2.9489608,1.7172538,1.0
2019-09-12 01:49:33.229260,4.09229,2.0229409,1.0
2019-09-12 01:49:34.229260,2.5852306,1.6078652,1.0
2019-09-12 01:49:35.229260,1.444585,1.2019088,1.0
2019-09-12 01:49:36.229260,5.5037303,2.346003,1.0
2019-09-12 01:49:37.229260,10.457292,3.2337735,1.0
2019-09-12 01:49:38.229260,1.4441278,1.2017187,1.0
2019-09-12 01:49:39.229260,5.6811223,2.3835106,1.0
2019-09-12 01:49:40.229260,2.8873312,1.6992149,1.0
2019-09-12 01:49:41.229260,9.334658,3.055267,1.0
2019-09-12 01:49:42.229260,2.6407788,1.6250473,1.0
2019-09-12 01:49:43.229260,2.7916925,1.6708359,1.0
2019-09-12 01:49:44.229260,1.376452,1.1732229,1.0
2019-09-12 01:49:45.229260,2.7625592,1.6620948,1.0
2019-09-12 01:49:46.229260,1.39539,1.1812663,1.0
2019-09-12 01:49:47.229260,4.0780888,2.0194278,1.0
2019-09-12 01:49:48.229260,2.7244089,1.6505784,1.0
2019-09-12 01:49:49.229260,0.0,0.0,1.0
2019-09-12 01:49:50.229260,5.4095445,2.3258429,1.0
2019-09-12 01:49:51.229260,9.533557,3.0876458,1.0
2019-09-12 01:49:52.229260,5.074053,2.2525659,1.0
2019-09-12 01:49:53.229260,5.256954,2.292805,1.0
2019-09-12 01:49:54.229260,9.504863,3.0829957,1.0
2019-09-12 01:49:55.229260,6.6316495,2.575199,1.0
2019-09-12 01:49:56.229260,2.5760279,1.6050009,1.0
2019-09-12 01:49:57.229260,6.627284,2.574351,1.0
2019-09-12 01:49:58.229260,4.082186,2.020442,1.0
2019-09-12 01:49:59.229260,6.597853,2.5686285,1.0
2019-09-12 01:50:00.229260,1.4085572,1.1868265,1.0
2019-09-12 01:50:01.229260,5.583986,2.363046,1.0
2019-09-12 01:50:02.229260,7.972019,2.8234766,1.0
2019-09-12 01:50:03.229260,3.9135559,1.9782709,1.0
2019-09-12 01:50:04.229260,0.0,0.0,1.0
2019-09-12 01:50:05.229260,2.6259372,1.6204743,1.0
2019-09-12 01:50:06.229260,3.9156065,1.9787891,1.0
2019-09-12 01:50:07.229260,6.7820473,2.6042364,1.0
2019-09-12 01:50:08.229260,0.0,0.0,1.0
2019-09-12 01:50:09.229260,3.888618,1.9719579,1.0
2019-09-12 01:50:10.229260,9.220443,3.036518,1.0
2019-09-12 01:50:11.229260,4.1760087,2.0435286,1.0
2019-09-12 01:50:12.229260,1.3668139,1.1691082,1.0
2019-09-12 01:50:13.229260,10.749904,3.2787046,1.0
2019-09-12 01:50:14.229260,5.3883405,2.32128,1.0
2019-09-12 01:50:15.229260,2.6339865,1.622956,1.0
2019-09-12 01:50:16.229260,1.4577554,1.2073754,1.0
2019-09-12 01:50:17.229260,8.081697,2.8428326,1.0
